dataset_version,timestamp_ms,sample_index,total_samples,controller_backend,cycle_id,diameter_m,cmd_object_diameter_m,roll_rad,pitch_rad,yaw_rad,repeat_idx,light_intensity,light_azimuth_deg,light_elevation_deg,spawn_x,spawn_y,spawn_z,pick_cmd_x,pick_cmd_y,pick_cmd_z,place_cmd_x,place_cmd_y,place_cmd_z,arm_joint1_rad,arm_joint2_rad,arm_joint3_rad,arm_joint4_rad,arm_joint5_rad,arm_joint6_rad,arm_gripper_joint1_rad,arm_gripper_joint2_rad,arm_gripper_joint7_rad,cycle_service_success,cycle_message,cycle_success,gripper_close_ok,grasp_stability_ok,place_landing_ok,grasp_reached_ok,place_reached_ok,label,elapsed_sec,server_pose_strategy,server_pose_profile,before_x,before_y,before_z,lift_x,lift_y,lift_z,after_x,after_y,after_z,error
v2_kinematic,1776790721242,1,108,auto_sorting_action,1776790676766_1_0,0.0716,0.0716,0.0,0.0,0.0,0,0.5,50.0,-20.0,0.03227864346193718,0.31095931221401196,0.1425407917169573,0.03227864346193718,0.31095931221401196,0.1425407917169573,0.16,-0.25,0.1,-0.9926536310899907,1.6458810797446022,-1.1490782617644024,-0.06504903703239417,1.1736241953383448,0.07387112451240263,,,0.034999999806021684,1,auto_action_cycle_done,1,1,1,1,1,1,1,45.523,free_yaw,直解位姿(快速)(反向),0.03227864346193718,0.31095931221401196,0.1425407917169573,0.03227864346193718,0.31095931221401196,0.1725407917169573,0.16,-0.25,0.1,
v2_kinematic,1776790765938,2,108,auto_sorting_action,1776790722281_2_1,0.0594,0.0594,0.0,0.0,0.0,1,0.5,50.0,-20.0,0.15697930696909734,-0.06722519965041579,0.1425407917169573,0.15697930696909734,-0.06722519965041579,0.1425407917169573,0.16,-0.25,0.1,-1.0167472588559479,1.6543870827827423,-1.164917371990116,0.06713475488256648,1.1646763908885545,-0.1480945335268169,,,0.03499994313387481,1,auto_action_cycle_done,1,1,1,1,1,1,1,44.6957,free_yaw,直解位姿(快速)(反向),0.15697930696909734,-0.06722519965041579,0.1425407917169573,0.15697930696909734,-0.06722519965041579,0.1725407917169573,0.16,-0.25,0.1,
v2_kinematic,1776790784498,3,108,auto_sorting_action,1776790767010_3_0,0.0724,0.0724,0.0,0.0,0.0,0,0.5,60.0,30.0,0.05924569631753188,0.11061630101447083,0.1425407917169573,0.05924569631753188,0.11061630101447083,0.1425407917169573,0.16,-0.25,0.1,-1.0167472265658164,1.6543872217310502,-1.164917602242891,0.06713452692702848,1.16467800484123,-0.1480941400961031,,,0.03499995178820394,0,action_server_error,0,0,0,0,0,0,0,18.5591,,,0.05924569631753188,0.11061630101447083,0.1425407917169573,0.05924569631753188,0.11061630101447083,0.1725407917169573,0.05924569631753188,0.11061630101447083,0.1425407917169573,action_server_error
v2_kinematic,1776790806221,4,108,auto_sorting_action,1776790785465_4_1,0.0595,0.0595,0.0,0.0,0.0,1,0.5,60.0,30.0,0.5368335192886077,-0.0061127399323607085,0.1425407917169573,0.5368335192886077,-0.0061127399323607085,0.1425407917169573,0.16,-0.25,0.1,-0.003312050511169673,0.003884160511197443,-0.004871591249177243,0.0038462740987590394,0.009385403497205402,-0.00763600448458579,,,0.03499999535417809,0,action_server_error,0,0,0,0,0,0,0,21.7233,,,0.5368335192886077,-0.0061127399323607085,0.1425407917169573,0.5368335192886077,-0.0061127399323607085,0.1725407917169573,0.5368335192886077,-0.0061127399323607085,0.1425407917169573,action_server_error
v2_kinematic,1776790853063,5,108,auto_sorting_action,1776790807334_5_0,0.0642,0.0642,0.0,0.0,0.0,0,0.8,50.0,-20.0,0.21258576760762665,0.04713173080528867,0.1425407917169573,0.21258576760762665,0.04713173080528867,0.1425407917169573,0.16,-0.25,0.1,-0.9975098024411668,1.639347039682745,-1.1642367021699735,0.008010571546731349,1.1850663772047225,-0.06849124980161836,,,0.0349999765658691,1,auto_action_cycle_done,1,1,1,1,1,1,1,46.8407,free_yaw,直解位姿(快速)(反向),0.21258576760762665,0.04713173080528867,0.1425407917169573,0.21258576760762665,0.04713173080528867,0.1725407917169573,0.16,-0.25,0.1,
v2_kinematic,1776790898669,6,108,auto_sorting_action,1776790853673_6_1,0.0669,0.0669,0.0,0.0,0.0,1,0.8,50.0,-20.0,0.26173065842796117,-0.012651905244743652,0.1425407917169573,0.26173065842796117,-0.012651905244743652,0.1425407917169573,0.16,-0.25,0.1,-1.0106339636415393,1.6229083666029176,-1.1308402391431214,0.07021435956671418,1.0858120817705883,-0.08667242934648645,,,0.03499997500059335,1,auto_action_cycle_done,1,1,1,1,1,1,1,45.606,free_yaw,直解位姿(快速)(反向),0.26173065842796117,-0.012651905244743652,0.1425407917169573,0.26173065842796117,-0.012651905244743652,0.1725407917169573,0.16,-0.25,0.1,
v2_kinematic,1776790916882,7,108,auto_sorting_action,1776790899607_7_0,0.0603,0.0603,0.0,0.0,0.0,0,0.8,60.0,30.0,0.4122190374073468,0.18422964085630486,0.1425407917169573,0.4122190374073468,0.18422964085630486,0.1425407917169573,0.16,-0.25,0.1,-1.0106339375493585,1.622908497125545,-1.1308404638300917,0.07021409511079835,1.085813581788015,-0.08667210125316949,,,0.03499996536390768,0,action_server_error,0,0,0,0,0,0,0,18.2118,,,0.4122190374073468,0.18422964085630486,0.1425407917169573,0.4122190374073468,0.18422964085630486,0.1725407917169573,0.4122190374073468,0.18422964085630486,0.1425407917169573,action_server_error
v2_kinematic,1776790938780,8,108,auto_sorting_action,1776790917852_8_1,0.0537,0.0537,0.0,0.0,0.0,1,0.8,60.0,30.0,0.2337335490667762,0.3278340966652529,0.1425407917169573,0.2337335490667762,0.3278340966652529,0.1425407917169573,0.16,-0.25,0.1,-0.006627196481290731,0.005776984378689676,-0.009749854352312681,0.004876005324979005,0.00020141704631715385,0.005112096294264568,,,0.03499999089567579,0,action_server_error,0,0,0,0,0,0,0,21.897,,,0.2337335490667762,0.3278340966652529,0.1425407917169573,0.2337335490667762,0.3278340966652529,0.1725407917169573,0.2337335490667762,0.3278340966652529,0.1425407917169573,action_server_error
v2_kinematic,1776790959390,9,108,auto_sorting_action,1776790939297_9_0,0.0553,0.0553,0.0,0.0,0.0,0,1.0,50.0,-20.0,0.3827212948320103,-0.11450533927669677,0.1425407917169573,0.3827212948320103,-0.11450533927669677,0.1425407917169573,0.16,-0.25,0.1,-0.007312466697036335,0.00013007635144557383,-0.0050669333935911,0.009410755767616408,-0.007744526140458952,0.0022741012947751216,,,0.034999981755342614,0,action_server_error,0,0,0,0,0,0,0,20.6096,,,0.3827212948320103,-0.11450533927669677,0.1425407917169573,0.3827212948320103,-0.11450533927669677,0.1725407917169573,0.3827212948320103,-0.11450533927669677,0.1425407917169573,action_server_error
v2_kinematic,1776790979823,10,108,auto_sorting_action,1776790960366_10_1,0.0532,0.0532,0.0,0.0,0.0,1,1.0,50.0,-20.0,0.4614764027712952,-0.33854625496647195,0.1425407917169573,0.4614764027712952,-0.33854625496647195,0.1425407917169573,0.16,-0.25,0.1,0.0093099891764723,0.003719717439999215,-0.007672931111021519,0.006045367333280538,-0.007960407001037062,0.005084799503586979,,,0.03499998783787817,0,action_server_error,0,0,0,0,0,0,0,20.4327,,,0.4614764027712952,-0.33854625496647195,0.1425407917169573,0.4614764027712952,-0.33854625496647195,0.1725407917169573,0.4614764027712952,-0.33854625496647195,0.1425407917169573,action_server_error
